Team,Number,Player,Offensive Control %,Defensive Control %,Significant Offensive Control,Significant Defensive Control,Shots,Goals,Shots to Goals (RSQ),OC% to Goals (RSQ),SOC to Goals (RSQ),,OC% to Shots (RSQ),SOC to Shots (RSQ)
Away,#38,Aky Raty,13.8%,11.9%,62,53,0,0,0.008,0.000,0.007,,0.022,0.092
Away,#29,Andrew Agozzino,12.2%,11.0%,106,81,2,0,,,,,,
Away,#22,Ben McCartney,11.8%,8.5%,55,44,0,0,,,,,,
Away,#42,Lleyton Moore,11.3%,23.5%,34,129,2,0,,,,,,
Away,#13,Egor Sokolov,10.9%,12.7%,83,98,4,0,,,,,,
Away,#91,Josh Doan,10.7%,9.2%,91,48,3,0,,,,,,
Away,#36,Hunter Drew,10.5%,11.1%,49,49,1,0,,,,,,
Away,#49,Miko Matikka,10.4%,9.9%,26,34,1,0,,,,,,
Away,#26,Travis Barron,10.2%,13.4%,41,92,1,0,,,,,,
Away,#56,Kailer Yamamoto,10.1%,12.0%,53,103,2,2,,,,,,
Away,#27,Austin Poganski,10.0%,12.2%,41,128,3,0,,,,,,
Away,#78,Artem Duda,10.0%,23.2%,19,314,1,0,,,,,,
Away,#71,Sam Lipkin,9.9%,10.3%,40,48,1,0,,,,,,
Away,#3,Peter DiLiberatore,9.3%,21.9%,16,160,2,0,,,,,,
Away,#21,Milos Kelemen,9.0%,10.1%,21,81,1,0,,,,,,
Away,#64,Patrik Koch,7.3%,20.8%,15,177,3,0,,,,,,
Away,#5,Robbie Russo,7.1%,23.1%,21,268,1,0,,,,,,
Away,#55,Max Szuber,6.9%,21.6%,11,233,1,0,,,,,,
Home,#68,Cal Burke,13.6%,9.4%,116,38,0,0,0.116,0.031,0.041,,0.027,0.064
Home,#36,Raphael Lavoie,12.9%,8.3%,107,32,2,0,,,,,,
Home,#75,Mitch McLain,11.2%,8.7%,73,40,4,0,,,,,,
Home,#11,Mason Morelli,10.9%,10.4%,82,67,3,1,,,,,,
Home,#46,Jonas Rondbjerg,10.6%,10.6%,98,46,2,0,,,,,,
Home,#12,Jakub Brabanec,10.5%,9.8%,83,58,1,0,,,,,,
Home,#89,Riley McKay,10.4%,9.5%,42,32,0,0,,,,,,
Home,#42,Braedan Bowman,10.0%,9.0%,62,32,2,0,,,,,,
Home,#29,Lucas Johansen,9.2%,24.8%,47,198,1,0,,,,,,
Home,#77,Kai Uchacz,9.2%,8.5%,42,45,3,0,,,,,,
Home,#25,Matyas Sapovaliv,8.7%,9.9%,49,62,1,0,,,,,,
Home,#19,Brendan Brisson,8.6%,9.5%,71,34,2,0,,,,,,
Home,#18,Robert Hagg,8.5%,22.5%,20,224,0,0,,,,,,
Home,#47,Grigori Denisenko,8.0%,8.9%,28,31,1,0,,,,,,
Home,#4,Mason Geertsen,7.8%,22.6%,24,158,2,0,,,,,,
Home,#20,Calen Addison,7.7%,24.2%,21,173,1,0,,,,,,
Home,#45,Jake Bischoff,6.8%,27.4%,19,235,1,0,,,,,,
Home,#44,Christoffer Sedoff,4.9%,23.2%,1,174,1,0,,,,,,
