Team,Number,Player,Offensive Control %,Defensive Control %,Significant Offensive Control,Significant Defensive Control,Shots,Goals,Shots to Goals (RSQ),OC% to Goals (RSQ),SOC to Goals (RSQ),,OC% to Shots (RSQ),SOC to Shots (RSQ)
Away,#45,Dominic Toninato,11.9%,12.2%,107,82,3,0,0.160,0.032,0.003,,0.271,0.321
Away,#13,Brad Lambert,11.3%,10.6%,68,55,0,0,,,,,,
Away,#41,Axel Jonsson-Fjallby,10.9%,10.8%,94,49,3,0,,,,,,
Away,#18,Mason Shaw,10.8%,10.9%,95,38,2,0,,,,,,
Away,#25,Parker Ford,10.8%,9.2%,89,46,1,0,,,,,,
Away,#20,Tyson Empey,10.6%,10.6%,42,35,3,2,,,,,,
Away,#27,CJ Suess,10.4%,14.5%,58,108,2,0,,,,,,
Away,#14,Ben King,10.4%,12.0%,68,55,2,0,,,,,,
Away,#47,Dylan Anhorn,9.5%,24.7%,29,218,0,0,,,,,,
Away,#49,Mark Liwiski,9.4%,9.7%,34,28,2,0,,,,,,
Away,#19,Nikita Chibrikov,9.1%,13.5%,46,61,1,0,,,,,,
Away,#4,Dawson Barteaux,8.9%,26.8%,19,232,0,0,,,,,,
Away,#37,Henri Nikkanen,8.7%,9.9%,35,44,1,0,,,,,,
Away,#28,Jaret Anderson Dolan,8.4%,12.0%,45,72,0,0,,,,,,
Away,#44,Elias Salomonsson,8.1%,30.8%,29,218,1,0,,,,,,
Away,#23,Dmitry Kuzmin,7.4%,24.0%,15,154,1,0,,,,,,
Away,#2,Tyrel Bauer,6.7%,27.4%,5,177,0,0,,,,,,
Away,#7,Simon Lundmark,5.6%,27.4%,3,175,1,0,,,,,,
Home,#67,Samuel Savoie,13.4%,11.4%,49,74,1,0,0.218,0.006,0.149,,0.048,0.067
Home,#84,Landon Slaggert,12.5%,11.3%,97,82,1,0,,,,,,
Home,#90,Paul Ludwinski,12.5%,9.6%,40,32,0,0,,,,,,
Home,#26,Gerry Mayhew,11.8%,10.6%,78,50,3,1,,,,,,
Home,#62,Brett Seney,11.2%,12.9%,83,68,3,0,,,,,,
Home,#89,Andreas Athanasiou,11.1%,12.8%,48,63,2,0,,,,,,
Home,#92,Gavin Hayes,11.1%,12.6%,36,54,1,0,,,,,,
Home,#91,Frank Nazar,11.0%,10.7%,74,59,2,1,,,,,,
Home,#12,Zach Sanford,10.8%,7.9%,37,37,0,0,,,,,,
Home,#46,Louis Crevier,9.8%,23.9%,12,203,1,0,,,,,,
Home,#63,Jackson Cates,9.8%,10.2%,19,46,1,0,,,,,,
Home,#28,Colton Dach,9.6%,10.0%,65,63,1,0,,,,,,
Home,#55,Artyom Levshunov,8.6%,25.6%,27,217,1,0,,,,,,
Home,#48,Austin Strand,8.4%,27.7%,4,149,0,0,,,,,,
Home,#70,Cole Guttman,8.4%,8.7%,44,42,3,1,,,,,,
Home,#14,Kevin Korchinski,7.3%,25.1%,20,254,4,0,,,,,,
Home,#41,Isaak Phillips,7.2%,25.9%,8,269,2,0,,,,,,
Home,#38,Ethan Del Mastro,6.9%,25.4%,15,216,1,0,,,,,,
