Team,Number,Player,Offensive Control %,Defensive Control %,Significant Offensive Control,Significant Defensive Control,Shots,Goals,Shots to Goals (RSQ),OC% to Goals (RSQ),SOC to Goals (RSQ),,OC% to Shots (RSQ),SOC to Shots (RSQ)
Away,#19,Yegor Sidorov,13.9%,11.5%,80,87,3,1,0.159,0.182,0.230,,0.046,0.181
Away,#17,Nathan Gaucher,13.9%,11.3%,49,75,0,0,,,,,,
Away,#12,Pavol Regenda,13.0%,13.3%,63,167,1,0,,,,,,
Away,#37,Roland McKeown,12.3%,19.7%,24,221,0,0,,,,,,
Away,#26,Jansen Harkins,11.1%,11.2%,69,102,2,0,,,,,,
Away,#18,Carson Meyer,11.1%,11.6%,55,113,3,0,,,,,,
Away,#22,Ryan Carpenter,10.6%,10.6%,51,103,2,0,,,,,,
Away,#11,Jan Mysak,10.5%,12.1%,32,83,3,0,,,,,,
Away,#25,Sam Colangelo,10.1%,11.2%,44,80,1,0,,,,,,
Away,#13,Nikita Nesterov,10.0%,12.8%,51,106,0,0,,,,,,
Away,#14,Coulson Pitre,9.7%,10.3%,21,38,0,0,,,,,,
Away,#5,Tyson Hinds,8.9%,23.6%,25,228,0,0,,,,,,
Away,#3,Dillon Heatherington,8.7%,22.2%,7,224,0,0,,,,,,
Away,#4,Drew Helleson,8.6%,22.8%,19,198,0,0,,,,,,
Away,#28,Judd Caulfield,8.3%,11.8%,20,101,2,0,,,,,,
Away,#2,Noah Warren,7.6%,22.4%,6,277,2,0,,,,,,
Away,#10,Josh Lopina,6.7%,11.4%,14,50,0,0,,,,,,
Away,#41,Roman Kinal,6.4%,24.0%,1,233,1,0,,,,,,
Home,#84,Tristen Nielsen,13.1%,16.6%,146,65,3,0,0.181,0.028,0.040,,0.002,0.087
Home,#21,Chase Wouters,12.0%,12.1%,113,94,3,0,,,,,,
Home,#23,Jonathan Lekkerimaki,11.4%,10.1%,89,34,3,0,,,,,,
Home,#14,John Stevens,11.3%,9.0%,94,37,1,0,,,,,,
Home,#83,Nate Smith,11.0%,11.2%,61,38,0,0,,,,,,
Home,#54,Aatu Raty,10.8%,10.0%,124,80,2,1,,,,,,
Home,#90,Cooper Walker,10.8%,10.9%,26,28,0,0,,,,,,
Home,#18,Danila Klimovich,10.3%,11.8%,96,63,5,1,,,,,,
Home,#55,Guillame Brisebois,10.3%,24.2%,32,162,2,0,,,,,,
Home,#56,Carsen Twarynski,10.3%,13.1%,22,29,3,0,,,,,,
Home,#39,Ty Mueller,10.2%,11.9%,81,79,1,0,,,,,,
Home,#25,Elias Pettersson,10.0%,22.1%,45,168,1,0,,,,,,
Home,#17,Dino Kambietz,10.0%,13.0%,17,34,1,0,,,,,,
Home,#63,Max Sasson,9.3%,12.2%,66,69,4,0,,,,,,
Home,#4,Jett Woo,8.4%,25.6%,29,208,2,0,,,,,,
Home,#59,Kirill Kudryavtsev,8.3%,23.2%,25,125,2,0,,,,,,
Home,#51,Mark Friedman,7.5%,28.2%,18,163,3,1,,,,,,
Home,#48,Cole McWard,6.9%,26.6%,21,133,2,0,,,,,,
